Attendee,NamespaceName,SasToken
john-smith01,ces-namespace-john-smith01,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith01.servicebus.windows.net%2Fces-hub&sig=Jp8L48jH3%2BN5ytTsRJRhbE5F4f8K2w%2F%2FvaAA6DQtZNw%3D&se=1751480738&skn=ces-policy
john-smith02,ces-namespace-john-smith02,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith02.servicebus.windows.net%2Fces-hub&sig=pN3no0d7laJJGCvDRdIL3cB1RNOa38ea0e0%2BKBJSxJU%3D&se=1751480739&skn=ces-policy
john-smith03,ces-namespace-john-smith03,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith03.servicebus.windows.net%2Fces-hub&sig=OOxY45EgQ6BTuJG3zUHGKHPV0rPOLxMF4ADwSBBu%2FTw%3D&se=1751480737&skn=ces-policy
john-smith04,ces-namespace-john-smith04,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith04.servicebus.windows.net%2Fces-hub&sig=M50n4jiaecUb7oodbQv8xsOKCrvW8ag8xaB3EZxmzlc%3D&se=1751480738&skn=ces-policy
john-smith05,ces-namespace-john-smith05,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith05.servicebus.windows.net%2Fces-hub&sig=Vvo%2Brd0ednDHIoUhQWxFpnI0DSYKsAOsNyXr0pJV6E0%3D&se=1751480738&skn=ces-policy
john-smith06,ces-namespace-john-smith06,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith06.servicebus.windows.net%2Fces-hub&sig=YBDbbJSe7bbiSOViwpjHmT9qghsD44HsWtZ8XLw5%2FVM%3D&se=1751480739&skn=ces-policy
john-smith07,ces-namespace-john-smith07,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith07.servicebus.windows.net%2Fces-hub&sig=tRz2cWtPdXHuv6OlA4MoPgwck%2FpRImxA0hbklxgnDQk%3D&se=1751480786&skn=ces-policy
john-smith08,ces-namespace-john-smith08,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith08.servicebus.windows.net%2Fces-hub&sig=cZQU2%2BjJJdxXWpaM6%2FAIiDTJyMQaw%2FqpjioxD0OfM9Y%3D&se=1751480787&skn=ces-policy
john-smith09,ces-namespace-john-smith09,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith09.servicebus.windows.net%2Fces-hub&sig=40MMMzMZnkKlgSBu634jtjalRPo5lsbwI3GTDHrCgQo%3D&se=1751480788&skn=ces-policy
john-smith10,ces-namespace-john-smith10,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-john-smith10.servicebus.windows.net%2Fces-hub&sig=MbtGCiVaXf%2Fyk7wFB0raoPqsSvb6tKldKBFU3cer9M8%3D&se=1751480788&skn=ces-policy
lenni-lobel,ces-namespace-lenni-lobel,SharedAccessSignature sr=https%3A%2F%2Fces-namespace-lenni-lobel.servicebus.windows.net%2Fces-hub&sig=SfhTP1YEAr8wlZgPZVHsi2jXXr1D688WCtgayjolrXg%3D&se=1751480736&skn=ces-policy
