AttendeeName,SqlDatabaseServerName,EventHubNamespaceName,EventHubSasToken,StorageAccountConnectionString
john-doe01,sql-john-doe01,eh-john-doe01,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe01.servicebus.windows.net%2Fces-hub&sig=qj8txns7Hge7YOJlGYtL2b5sodP83LnU3r4uj1Kn0tk%3D&se=1756943568&skn=ces-policy,
john-doe02,sql-john-doe02,eh-john-doe02,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe02.servicebus.windows.net%2Fces-hub&sig=mI6CXtCre1ouSni6UJ4vN5h%2Bsw8n%2BFA%2FxUnkoRlRqIM%3D&se=1756943568&skn=ces-policy,
john-doe03,sql-john-doe03,eh-john-doe03,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe03.servicebus.windows.net%2Fces-hub&sig=9FtFlWJvj9Ph2%2BrJ1JEs2ZeVl3UG2kGpe9QHTI7L2Xg%3D&se=1756943568&skn=ces-policy,
john-doe04,sql-john-doe04,eh-john-doe04,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe04.servicebus.windows.net%2Fces-hub&sig=ih6sI2S2vbee0OTV9pUfcljvr9%2F9NogygOy2EqrfiEQ%3D&se=1756943568&skn=ces-policy,
john-doe05,sql-john-doe05,eh-john-doe05,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe05.servicebus.windows.net%2Fces-hub&sig=trKjv4BQYiZZkH5d0r5%2Fp0cCsE8aAb8gnArYls8QUHY%3D&se=1756943573&skn=ces-policy,
john-doe06,sql-john-doe06,eh-john-doe06,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe06.servicebus.windows.net%2Fces-hub&sig=VGRewhZBJk5N2AZlRAna7hJa1TeX61TdAIVycyr9AaI%3D&se=1756943574&skn=ces-policy,
john-doe07,sql-john-doe07,eh-john-doe07,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe07.servicebus.windows.net%2Fces-hub&sig=1%2B7pnd8Ll87WWlT%2FFtcrNnXCTfEEf7sKRxtch21MDOw%3D&se=1756943574&skn=ces-policy,
john-doe08,sql-john-doe08,eh-john-doe08,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe08.servicebus.windows.net%2Fces-hub&sig=VxFG1hhPpC%2BKQGv0jWb5sauiYt8mDhIoCoBhBwbQ5F0%3D&se=1756943574&skn=ces-policy,
john-doe09,sql-john-doe09,eh-john-doe09,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe09.servicebus.windows.net%2Fces-hub&sig=6qwKXfFBdBZkjS9GfC8gsMOSxW50ND0rJi2EtERtqo0%3D&se=1756943574&skn=ces-policy,
john-doe10,sql-john-doe10,eh-john-doe10,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe10.servicebus.windows.net%2Fces-hub&sig=J1MvNaQjepcj04c8WDuiWQR0cC3kbw34r3cCa3X1rpY%3D&se=1756943576&skn=ces-policy,
john-doe11,sql-john-doe11,eh-john-doe11,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe11.servicebus.windows.net%2Fces-hub&sig=DS%2BY3pWRZ0F29OFi8ZNQOAcZ82y%2Ft92DdgCfo4AbKmw%3D&se=1756943577&skn=ces-policy,
john-doe12,sql-john-doe12,eh-john-doe12,SharedAccessSignature sr=https%3A%2F%2Feh-john-doe12.servicebus.windows.net%2Fces-hub&sig=Sg3495pslY0rp0MvH8SbK4Z1eBbTZ2I4EbkPN243SV8%3D&se=1756943578&skn=ces-policy,
lenni-lobel,sql-lenni-lobel,eh-lenni-lobel,SharedAccessSignature sr=https%3A%2F%2Feh-lenni-lobel.servicebus.windows.net%2Fces-hub&sig=gPpD0dW5VWPR6ckI8DFOGFcJGnvlOPyQ8fk5%2F1a5de0%3D&se=1756943568&skn=ces-policy,
mark-white,sql-mark-white,eh-mark-white,SharedAccessSignature sr=https%3A%2F%2Feh-mark-white.servicebus.windows.net%2Fces-hub&sig=fvYD00helpA95ZMq0lPWvTGIz3QxSmuOakNJVqhOlL4%3D&se=1756943568&skn=ces-policy,
